index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
0,https://www.yahoo.com/news/articles/trump-once-wary-ordering-regime-002037550.html,0,www.yahoo.com,Trump was once wary of ordering regime change in Iran. Here's what made him change his mind,"With Saturday's military operation against Iran, President Donald Trump demonstrated a dramatic evolution in risk tolerance, adjusting in just a matter of...",https://s.yimg.com/ny/api/res/1.2/YaMTb_KJJyuxm2.i50w2hA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://media.zenfs.com/en/ap.org/2f5db1b1f856d1fbf526be7e069ac245,2026-03-01T00:20:37Z,http://web.archive.org/web/20260302074856/https://www.yahoo.com/news/articles/trump-once-wary-ordering-regime-002037550.html,"WEST PALM BEACH, Fla. (AP) With Saturday's military operation against Iran, President Donald Trump demonstrated a dramatic evolution in risk tolerance, adjusting in just a matter of months how far he… [+7729 chars]",,en,'Donald Trump'
1,https://www.cbsnews.com/video/what-we-know-after-us-israel-attacks-iran/,0,www.cbsnews.com,"What we know after U.S., Israel attacks in Iran","The U.S. and Israel launched a historic aerial assault on Iran, hitting targets in Tehran and across the country and taking Iranian leadership by surprise. Tony Dokoupil recaps what we know.",https://assets1.cbsnewsstatic.com/hub/i/r/2026/03/01/9b0bfafc-395e-4e1c-b82e-6699559b3a7e/thumbnail/1200x630/63a95bc3033ae33a31ee5c1e9e422ca7/cbsn-fusion-what-we-know-after-us-israel-attacks-iran-thumbnail.jpg,2026-03-01T00:21:00Z,,Copyright ©2026 CBS Interactive Inc. All rights reserved.,,en,'Tony Dokoupil'
2,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_108282f2-e4ce-4354-bdbc-403797eb79a6,0,consent.yahoo.com,Nancy Guthrie Update: Case Takes Troubling Turn,,,2026-03-01T00:39:57Z,,"If you click 'Accept all', we and our partners, including 246 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",,en,'Nancy Guthrie'
3,https://www.cbsnews.com/video/war-with-iran-cbs-news-special/,0,www.cbsnews.com,War with Iran | CBS News Special,"Tony Dokoupil anchors special coverage of the large-scale military operation launched by the U.S. and Israel on Iran, killing Supreme Leader Ayatollah Ali Khamenei, who ruled for nearly 40 years. President Trump said the U.S. would continue ""heavy and pinpoin…",https://assets2.cbsnewsstatic.com/hub/i/r/2026/03/01/a4c20725-5e58-4d66-bfaa-5ba40f750a6d/thumbnail/1200x630/88a0d55d7d99d3fa681c21b3fa6bc6e1/key-art-war-with-iran.png,2026-03-01T04:56:00Z,,Copyright ©2026 CBS Interactive Inc. All rights reserved.,,en,'Tony Dokoupil'
4,https://www.yahoo.com/news/articles/khameneis-absence-pragmatist-larijani-emerges-080112377.html,0,www.yahoo.com,"In Khamenei's absence, pragmatist Larijani emerges as power broker in Iran","By Ahmed Elimam March 1 (Reuters) - Veteran Iranian politician Ali Larijani, who said on Sunday a temporary leadership council would be set up after an air...",https://s.yimg.com/os/en/reuters.com/d9231ef6896767bf4cd2261aa796e7e6,2026-03-01T08:01:12Z,,"By Ahmed Elimam
March 1 (Reuters) - Veteran Iranian politician Ali Larijani, who said on Sunday a temporary leadership council would be set up after an air strike killed Supreme Leader Ayatollah Ali… [+5703 chars]",,en,'Ali Khamenei'
5,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a3905a07-b843-407c-80a9-ea4e6fd52323,0,consent.yahoo.com,Ex-Yankees star’s Donald Trump post backfires: ‘Holy (expletive) he’s never heard of you’,,,2026-03-01T10:00:46Z,,"If you click 'Accept all', we and our partners, including 246 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",,en,'Donald Trump'
6,https://www.cbsnews.com/news/tom-cotton-arkansas-republican-face-the-nation-transcript-03-01-2026/,0,www.cbsnews.com,"Transcript: Sen. Tom Cotton on ""Face the Nation with Margaret Brennan,"" March 1, 2026","The following is the transcript of the interview with Sen. Tom Cotton, Republican of Arkansas, that aired on ""Face the Nation with Margaret Brennan"" on March 1, 2026.",https://assets2.cbsnewsstatic.com/hub/i/r/2026/01/04/160fceb4-1e56-43e7-99e8-82cf04774e1d/thumbnail/1200x630/dfc2622751433b2e810858b59189f464/1767545990630.png,2026-03-01T12:01:40Z,http://web.archive.org/web/20260302004901/https://www.cbsnews.com/news/tom-cotton-arkansas-republican-face-the-nation-transcript-03-01-2026/,"The following is the transcript of the interview with Sen. Tom Cotton, Republican of Arkansas, that aired on ""Face the Nation with Margaret Brennan"" on March 1, 2026.
MARGARET BRENNAN: Imtiaz Tyab r… [+9602 chars]",,en,'Delcy Rodriguez'
7,https://www.globalsecurity.org/wmd/library/news/iran/2026/02/iran-260228-ocasio-cortez01.htm,0,www.globalsecurity.org,Ocasio-Cortez Statement on Trump's Combat Operations in Iran,"Today, Representative Alexandria Ocasio-Cortez (NY-14) released the following statement after the Trump Administration's announcement of the beginning of a massive U.S. military operation in Iran.",,2026-03-01T13:13:41Z,,"Representative Alexandria Ocasio-Cortez (NY-14)
February 28, 2026Press Release
WASHINGTON D.C. -- Today, Representative Alexandria Ocasio-Cortez (NY-14) released the following statement after the T… [+1448 chars]",,en,'Alexandria Ocasio-Cortez'
8,https://www.bbc.co.uk/sounds/play/p0n40vch,0,www.bbc.co.uk,Ali Khamenei Killed,Iran's Supreme Leader Ayatollah Ali Khamenei was killed in his office on Saturday.,https://ichef.bbci.co.uk/images/ic/1024x576/p0l7jnbt.jpg,2026-03-01T13:40:00Z,,"Available for over a year
Today, we look at the death of Iran's Supreme Leader Ayatollah Ali Khamenei, who was killed by US-Israeli attacks on Saturday.
US President Donald Trump released a stateme… [+1166 chars]",,en,'Ali Khamenei'
9,https://www.foxnews.com/media/theologian-bishop-says-aoc-pushed-culture-aside-heated-response-marco-rubio-speech,0,www.foxnews.com,Theologian bishop says AOC pushed culture aside in heated response to Marco Rubio speech,"Bishop Robert Barron exposes the ""Karl Marx playbook"" after the AOC called Western culture ""thin"" in response to Marco Rubio's Senate speech.",https://static.foxnews.com/foxnews.com/content/uploads/2026/02/aoc-speaking-munich.jpg,2026-03-01T14:00:32Z,http://web.archive.org/web/20260301171708/https://www.foxnews.com/media/theologian-bishop-says-aoc-pushed-culture-aside-heated-response-marco-rubio-speech,"The head of a Roman Catholic Diocese in Minnesota says Rep. Alexandria Ocasio-Cortez pushed ""culture off to the side"" in her response to Secretary of State Marco Rubios speech at the Munich Security … [+3909 chars]",,en,'Marco Rubio'
10,https://www.cbsnews.com/news/tom-cotton-iran-leader-khamenei-death-face-the-nation/,0,www.cbsnews.com,"Sen. Tom Cotton says ""not a simple answer"" as to who will lead Iran now","""There's probably a lot of jockeying inside of Iran right now, they have a very consultative, deliberative process to replace the Supreme Leader,"" Sen. Tom Cotton said Sunday on ""Face the Nation with Margaret Brennan.""",https://assets2.cbsnewsstatic.com/hub/i/r/2026/01/04/160fceb4-1e56-43e7-99e8-82cf04774e1d/thumbnail/1200x630/dfc2622751433b2e810858b59189f464/1767545990630.png,2026-03-01T14:03:44Z,http://web.archive.org/web/20260301180629/https://www.cbsnews.com/news/tom-cotton-iran-leader-khamenei-death-face-the-nation/,"Sen. Tom Cotton, the chairman of the Senate Intelligence Committee, said Sunday that there's ""not a simple answer"" as to who will lead Iran after the death of Ayatollah Ali Khamenei in a massive U.S.… [+2677 chars]",,en,'Margaret Brennan'
11,https://www.cbc.ca/news/world/khamenei-death-regime-change-iran-9.7110285,0,www.cbc.ca,Why killing Ayatollah Ali Khamenei may not mean regime change in Iran,"Following a joint U.S.-Israeli missile strike that killed Supreme Leader Ayatollah Ali Khamenei, Iran is experiencing a volatile mix of state-sanctioned mourning and celebratory street protests. The assassination has sparked international fear that the lack o…","https://i.cbc.ca/ais/07f77704-0110-4c5a-b9a6-6255b0d104ab,1772371928521/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C307%2C5900%2C3318%29%3BResize%3D620",2026-03-01T14:33:55Z,,"In the aftermath of the assassination of Iran's Supreme Leader Ayatollah Ali Khamenei in a joint Israel-U.S. strike, the country's profound and deep divisions over his life and legacy were on full di… [+8172 chars]",,en,'María Corina Machado'
12,https://crooksandliars.com/2026/02/mullin-takes-cheap-shot-tlaib-and-omar,0,crooksandliars.com,Mullin Takes Cheap Shot At Tlaib And Omar To Justify Trump Not Briefing Congress,"Sen. Markwayne Mullin lashed out at Representatives Rashida Tlaib and Ilhan Omar when attempting to justify Trump refusing to brief Congress before bombing Iran.
During a portion of a lengthy interview on this Saturday's Fox & Friends Weekend, where Mullin wa…",https://crooksandliars.com/files/primary_image/26/02/fox-mullin-jones-earhardt-kilmeade-022826.png,2026-03-01T14:40:52Z,,Sen. Markwayne Mullin lashed out at Representatives Rashida Tlaib and Ilhan Omar when attempting to justify Trump refusing to brief Congress before bombing Iran.During a portion of a lengthy intervie… [+3868 chars],,en,'Markwayne Mullin'
13,https://www.businessinsider.com/us-service-members-killed-wounded-fighting-iran-american-military-says-2026-3,0,www.businessinsider.com,The US military has suffered losses in its fight with Iran. 3 American service members have been killed.,"President Donald Trump on Saturday warned that the US could suffer losses against Iran but called the operation ""a noble mission.""",https://i.insider.com/69a454c7d3e2f1aef369c32d?width=1200&format=jpeg,2026-03-01T15:20:52Z,http://web.archive.org/web/20260302022420/https://www.businessinsider.com/us-service-members-killed-wounded-fighting-iran-american-military-says-2026-3,"An F/A-18E Super Hornet takes off to support combat operations against Iran.US Navy photo
<ul><li>Three American service members have been killed as part of combat operations against Iran.</li><li>F… [+1763 chars]",,en,'Donald Trump'
14,https://abcnews.com/International/iran-forms-interim-leadership-council-president-pezeshkian-resurfaces/story?id=130650550,0,abcnews.com,Iran forms interim leadership council as President Pezeshkian resurfaces,"The interim leadership council of Iran has been formed following the death of Ayatollah Ali Khamenei, the country's supreme leader, Iranian state TV reported Sunday.",https://i.abcnewsfe.com/a/41e801c7-53a2-448f-8ae0-8db0903e41f2/iran-18-gty-gmh-260301_1772377995591_hpMain_16x9.jpg?w=1600,2026-03-01T17:10:41Z,,"The interim leadership council of Iran has been formed following the death of Ayatollah Ali Khamenei, the country's supreme leader, Iranian state TV reported Sunday.
The interim leadership council w… [+2767 chars]",,en,'Ali Khamenei'
15,https://www.cbsnews.com/video/rep-mike-turner-says-iran-remained-a-threat-before-us-israeli-military-action/,0,www.cbsnews.com,"Rep. Mike Turner says Iran ""remained a threat"" before U.S.-Israeli military action","Rep. Mike Turner, Republican of Ohio, told ""Face the Nation with Margaret Brennan"" that Iran ""remained a threat"" to the U.S. and Israel before the military action, and the two nations ""had the opportunity to take an action to eliminate that threat.""",https://assets2.cbsnewsstatic.com/hub/i/r/2026/03/01/5798eb96-ee35-4ea8-9f7c-b0d8bf824dec/thumbnail/1200x630/cbb4926d14f0abc04fccc825065c0946/cbsn-fusion-rep-mike-turner-says-iran-remained-a-threat-before-us-israeli-military-action-thumbnail.jpg,2026-03-01T17:24:00Z,http://web.archive.org/web/20260302071615/https://www.cbsnews.com/video/rep-mike-turner-says-iran-remained-a-threat-before-us-israeli-military-action/,Copyright ©2026 CBS Interactive Inc. All rights reserved.,,en,'nan nan'
16,https://nypost.com/2026/03/01/us-news/ilhan-omar-snaps-back-at-drunk-nancy-mace-for-suggesting-she-is-mourning-khameneis-death/,0,nypost.com,Ilhan Omar snaps back at ‘drunk’ Nancy Mace for suggesting she is mourning Khamenei’s death,Lefty Dem Rep. Ilhan Omar on Sunday bashed firebrand GOP Rep. Nancy Mace as a “drunk” for suggesting she and fellow “Squad” Rep. Rashida Tlaib were mourning Iranian Ayatollah Ali Khamenei’s death.…,https://nypost.com/wp-content/uploads/sites/2/2026/03/omar-mace-comp-122527130.jpg?quality=75&strip=all&w=1200,2026-03-01T17:37:28Z,,"They both went there.
Lefty Dem Rep. Ilhan Omar on Sunday bashed firebrand GOP Rep. Nancy Mace as a drunk for suggesting she and fellow Squad Rep. Rashida Tlaib were mourning Iranian Ayatollah Ali K… [+3825 chars]",,en,'Ali Khamenei'
17,https://www.wired.com/story/5-big-known-unknowns-donald-trump-iran-war/,0,www.wired.com,The 5 Big ‘Known Unknowns’ of Donald Trump’s New War With Iran,The all-out air assault on the Islamic Republic might be the biggest gamble of the president’s career.,"https://media.wired.com/photos/69a3b8c337746a56445e9886/191:100/w_1280,c_limit/GettyImages-2244475329.jpg",2026-03-01T17:47:31Z,,"More recently, Iran has been a regular adversary in cyberspaceand while it hasnt demonstrated quite the acuity of Russia or China, Iran is good at finding ways to maximize the impact of their capabil… [+3183 chars]",,en,'Donald Trump'
