,phrase,label,sentiment,subjectivity,language,count
US,US,GPE,0.042133683581329705,0.29465477016870417,en,396
U.S.,U.S.,GPE,0.04250428534664205,0.2692660510932805,en,314
Minneapolis,Minneapolis,GPE,0.06820275102983432,0.27804283347825015,en,300
Venezuela,Venezuela,GPE,0.033594850118435014,0.23326360641454977,en,265
Minnesota,Minnesota,GPE,0.043372282874274914,0.2560996777680045,en,251
Los Angeles,Los Angeles,GPE,0.06624683786720824,0.42383503242299525,en,108
Hollywood,Hollywood,GPE,0.059395341222786883,0.4155208137273354,en,92
California,California,GPE,0.017405684253776234,0.2692640163163645,en,73
the United States,the United States,GPE,-0.003498847752579101,0.2501325622967414,en,67
Iran,Iran,GPE,0.08612608536099912,0.2270083843359705,en,58
America,America,GPE,0.12827964270946723,0.33891975308641986,en,57
WASHINGTON,WASHINGTON,GPE,0.07252172554627911,0.26135725881261596,en,56
Bondi,Bondi,GPE,0.002664262820512826,0.2636685363247863,en,52
Florida,Florida,GPE,0.2738285714285714,0.6566676767676768,en,50
Ukraine,Ukraine,GPE,0.06658222853535355,0.27684527567340067,en,48
Washington,Washington,GPE,0.059457348488503516,0.2966517340871444,en,47
Russia,Russia,GPE,0.08791871638462546,0.3112282729896366,en,44
New York,New York,GPE,0.07233285233285232,0.4349070968713825,en,42
UK,UK,GPE,0.023980429292929283,0.24532859848484848,en,40
Ohio,Ohio,GPE,0.009647990897990894,0.26523939023939025,en,39
Israel,Israel,GPE,0.13462496587496586,0.36479539604539596,en,37
China,China,GPE,0.029229390681003584,0.40304659498207884,en,31
NEW YORK,NEW YORK,GPE,0.1262626262626262,0.48676497113997114,en,24
Caracas,Caracas,GPE,0.03970839345839345,0.28217171717171713,en,24
Kentucky,Kentucky,GPE,0.11206136858310774,0.27982030047247436,en,23
Texas,Texas,GPE,0.0879540749105966,0.3443534726143422,en,23
Miami,Miami,GPE,0.05393595041322314,0.31243686868686876,en,22
Brentwood,Brentwood,GPE,0.02549242424242424,0.4375126262626263,en,22
London,London,GPE,0.018394660894660894,0.1254755892255892,en,21
Sandringham,Sandringham,GPE,0.016609848484848484,0.2346022727272727,en,20
India,India,GPE,0.11076599326599329,0.23662738496071833,en,18
