,phrase,label,sentiment,subjectivity,language,count
James Talarico,James Talarico,PERSON,0.08808982683982683,0.4182756132756132,en,35
Jay Clayton,Jay Clayton,PERSON,0.030776515151515155,0.09981060606060607,en,16
John Cornyn,John Cornyn,PERSON,0.08041666666666666,0.29527777777777775,en,14
Brendan Carr,Brendan Carr,PERSON,0.013255633255633257,0.17159285159285156,en,13
Katie Couric,Katie Couric,PERSON,-0.17625,0.30874999999999997,en,10
Rye Barcott,Rye Barcott,PERSON,0.07065375982042649,0.3132182940516274,en,9
Karen Bass,Karen Bass,PERSON,-0.030277777777777785,0.4796296296296297,en,9
Tony Hinchcliffe,Tony Hinchcliffe,PERSON,0.002160493827160517,0.4493827160493827,en,9
William Swenson,William Swenson,PERSON,0.005941358024691356,0.15493827160493828,en,9
Mike Lawler,Mike Lawler,PERSON,-0.05387205387205388,0.4543771043771043,en,9
Nithya Raman,Nithya Raman,PERSON,0.07904040404040404,0.29494949494949496,en,9
Alex Cooper,Alex Cooper,PERSON,-0.10637626262626264,0.3319444444444445,en,8
Cindy McCain,Cindy McCain,PERSON,0.22361111111111112,0.425,en,8
Matthew Williams,Matthew Williams,PERSON,0.017621527777777778,0.23680555555555555,en,8
Andrew Lownie,Andrew Lownie,PERSON,0.08234126984126983,0.16937830687830685,en,8
Steve Kroft,Steve Kroft,PERSON,-0.23020833333333332,0.31145833333333334,en,8
Mark Warner,Mark Warner,PERSON,0.004687499999999997,0.31562500000000004,en,8
Bob Dylan,Bob Dylan,PERSON,0.08380681818181818,0.5125000000000001,en,8
Amy Adams,Amy Adams,PERSON,0.11877705627705629,0.2656655844155844,en,8
Ben Reilly,Ben Reilly,PERSON,0.08593975468975468,0.21251803751803752,en,7
Daveigh Chase,Daveigh Chase,PERSON,-0.08777056277056275,0.34850288600288604,en,7
Victor Davis Hanson,Victor Davis Hanson,PERSON,0.15357142857142855,0.4339285714285714,en,7
Lesley Stahl,Lesley Stahl,PERSON,0.20714285714285713,0.2285714285714286,en,7
Sharyn Alfonsi,Sharyn Alfonsi,PERSON,0.032656926406926426,0.43395562770562773,en,7
Ringo Starr,Ringo Starr,PERSON,0.19285714285714287,0.33095238095238094,en,7
Chad Smith,Chad Smith,PERSON,0.025800865800865797,0.287936507936508,en,7
