,phrase,label,sentiment,subjectivity,language,count
Trump,Trump,ORG,0.038803547805131074,0.2923671432330588,en,688
UFC,UFC,ORG,0.08288213443264307,0.28899439665900456,en,688
White House,White House,ORG,0.027380465466531036,0.1651108706108707,en,305
CNN,CNN,ORG,0.005863322540151807,0.3071612679648395,en,287
CBS News,CBS News,ORG,0.07203050688523459,0.3749874117555618,en,244
House,House,ORG,0.014649240550214574,0.2782165813983996,en,154
DOJ,DOJ,ORG,0.030398192268695865,0.3328137057453605,en,139
ICE,ICE,ORG,0.15655176636016052,0.2722466189528234,en,137
CBS,CBS,ORG,0.09803333024930325,0.35088003643754484,en,127
Congress,Congress,ORG,0.04087911020603329,0.23233131852122232,en,104
CBS Evening News,CBS Evening News,ORG,0.06493262584113099,0.2942492642428209,en,97
MAGA,MAGA,ORG,-0.01687321572392171,0.34204982909301834,en,86
AP,AP,ORG,0.1029145935233598,0.31109621258971915,en,77
the Justice Department,the Justice Department,ORG,0.13435367965367964,0.42214401154401154,en,75
the IAB Transparency &amp,the IAB Transparency &amp,ORG,-0.10550130208333333,0.3750325520833333,en,64
MMA,MMA,ORG,0.0554513888888889,0.23251302083333328,en,64
The Justice Department,The Justice Department,ORG,0.06892336059002725,0.31941972636417076,en,54
the Department of Justice,the Department of Justice,ORG,0.004465230536659115,0.40128180901990435,en,45
Mediagazer,Mediagazer,ORG,0.009916586499919834,0.07601398909732243,en,45
Epstein,Epstein,ORG,0.1123896103896104,0.4427789001122333,en,45
CBS Interactive Inc. All,CBS Interactive Inc. All,ORG,0.014202657807308972,0.039784053156146186,en,43
FBI,FBI,ORG,0.01923963471928588,0.2422113577636833,en,43
GOP,GOP,ORG,0.009311425753733445,0.2621493143608528,en,39
Reuters,Reuters,ORG,0.08486323131059972,0.3553820789347106,en,38
Greenland,Greenland,ORG,0.12308719433719435,0.24975225225225234,en,37
Justice Department,Justice Department,ORG,0.10092865842865843,0.3735866010866011,en,37
the House Oversight Committee,the House Oversight Committee,ORG,-0.04208260208260204,0.3464256464256463,en,37
the White House,the White House,ORG,0.02293831168831169,0.2072866562449896,en,36
MSNBC,MSNBC,ORG,0.23716329966329974,0.23596099887766553,en,36
DHS,DHS,ORG,0.041628787878787876,0.23349783549783548,en,35
State,State,ORG,0.050434618291761144,0.1588019652305367,en,35
Netflix,Netflix,ORG,0.14042545553574962,0.37730590215884335,en,34
Fox News,Fox News,ORG,0.03263920719803073,0.2503501400560224,en,34
Paramount,Paramount,ORG,0.06906133507696006,0.22363020081770082,en,32
Elon Musk,Elon Musk,ORG,0.07116834987928736,0.3222561162795537,en,32
Senate,Senate,ORG,0.008542331324589392,0.28532046358659263,en,31
Homeland Security,Homeland Security,ORG,0.07141485626508666,0.27181808207153835,en,31
Bari Weiss,Bari Weiss,ORG,0.07811046977713644,0.2995069745069745,en,27
HBO,HBO,ORG,0.12515495564106677,0.3784424937202715,en,27
Treasury,Treasury,ORG,0.02400721963221963,0.11559505309505312,en,26
Harvard,Harvard,ORG,0.0553030303030303,0.2353736541236541,en,26
TheWrap,TheWrap,ORG,0.1301311188811189,0.37604409479409484,en,26
Tsarukyan,Tsarukyan,ORG,0.05583333333333333,0.1758333333333333,en,25
Turning Point USA,Turning Point USA,ORG,-0.07685277777777777,0.26589166666666664,en,25
Topuria,Topuria,ORG,0.05610452349582785,0.2467594422485727,en,23
Washington Post,Washington Post,ORG,-0.00471681096681097,0.2940836940836941,en,22
Maxwell,Maxwell,ORG,0.09951659451659449,0.337341785198928,en,21
BBC,BBC,ORG,-0.05045351473922904,0.38307823129251706,en,21
Defense,Defense,ORG,-0.023765235260770973,0.13772534013605442,en,20
The New York Times,The New York Times,ORG,0.07380366161616161,0.3522758838383838,en,20
NBC News,NBC News,ORG,0.09776144907723855,0.3530644793802688,en,19
The White House,The White House,ORG,0.024381787802840435,0.16630892707960376,en,19
Islam Makhachev,Islam Makhachev,ORG,0.12093567251461988,0.3255555555555556,en,19
PFL,PFL,ORG,0.14644755828966352,0.28619180527075266,en,19
Time,Time,ORG,0.08179824561403509,0.39407894736842103,en,19
NewsNation,NewsNation,ORG,-0.1455270295548073,0.2922418630751964,en,18
The Hollywood Gossip,The Hollywood Gossip,ORG,0.2828703703703704,0.5791666666666666,en,18
Ghislaine Maxwell,Ghislaine Maxwell,ORG,0.08617265087853324,0.2718360071301248,en,17
Nick,Nick,ORG,0.004693998811645866,0.19887106357694592,en,17
ABC,ABC,ORG,0.14746732026143788,0.32005718954248363,en,17
Islam,Islam,ORG,0.09609328579916815,0.3108229352346999,en,17
Instagram,Instagram,ORG,0.05394607843137254,0.28299019607843134,en,17
Attia,Attia,ORG,0.13266188672438672,0.42023719336219334,en,16
AmericaFest,AmericaFest,ORG,0.018406441648629143,0.27096128697691196,en,16
the Justice Department's,the Justice Department's,ORG,0.017221320346320356,0.35914051226551225,en,16
Truth Social,Truth Social,ORG,0.011115319865319868,0.2560016835016835,en,15
Warner Bros.,Warner Bros.,ORG,0.182050505050505,0.428043771043771,en,15
NPR,NPR,ORG,0.03282312925170068,0.1447278911564626,en,14
New York Times,New York Times,ORG,0.017638060635509618,0.2526938481020114,en,14
Border Patrol,Border Patrol,ORG,0.0994345238095238,0.20907738095238096,en,14
Romy,Romy,ORG,0.08971861471861471,0.21612554112554114,en,14
TMZ,TMZ,ORG,0.01748251748251748,0.1922921522921523,en,13
Ngannou,Ngannou,ORG,0.01336996336996337,0.06697191697191698,en,13
the House Judiciary Committee,the House Judiciary Committee,ORG,0.07486679986679988,0.4501887001887001,en,13
Energy,Energy,ORG,0.004615384615384624,0.26589743589743586,en,13
The U.S. Justice Department,The U.S. Justice Department,ORG,0.021023976023976022,0.3662146187146187,en,13
Bloomberg,Bloomberg,ORG,0.06238977072310407,0.25002304793971464,en,12
Immigration and Customs Enforcement,Immigration and Customs Enforcement,ORG,0.011093073593073592,0.11832611832611833,en,12
ABC News,ABC News,ORG,0.16922348484848485,0.24706439393939394,en,12
Department of Justice,Department of Justice,ORG,0.05918109668109669,0.2741552429052429,en,12
JD,JD,ORG,0.11359126984126984,0.3220734126984127,en,12
Jennings,Jennings,ORG,-0.015909090909090907,0.05321969696969697,en,12
Big Tech,Big Tech,ORG,-0.014372294372294375,0.1838474025974026,en,11
Federal Reserve,Federal Reserve,ORG,-0.13655303030303031,0.2571969696969697,en,11
LAPD,LAPD,ORG,0.006691919191919193,0.09823232323232324,en,11
NATO,NATO,ORG,0.07196969696969698,0.24015151515151514,en,11
the U.S. Department of Justice,the U.S. Department of Justice,ORG,0.03244949494949494,0.26338383838383844,en,11
Cowboys,Cowboys,ORG,0.05268004722550177,0.27412829594647775,en,11
Google,Google,ORG,0.09428571428571428,0.35678571428571426,en,10
UFC Qatar,UFC Qatar,ORG,0.0002777777777777768,0.4255555555555556,en,10
Salem Radio Network,Salem Radio Network,ORG,-0.15965873015873017,0.45837698412698413,en,10
AI,AI,ORG,-0.025625180375180377,0.3925007215007215,en,10
Fed,Fed,ORG,-0.0196969696969697,0.1661111111111111,en,10
NFL,NFL,ORG,0.11653030303030301,0.23278282828282829,en,10
House Oversight Committee,House Oversight Committee,ORG,0.0521969696969697,0.2603787878787879,en,10
CBS News',CBS News',ORG,0.1439628427128427,0.2871843434343434,en,10
TikTok,TikTok,ORG,0.060812074829931964,0.26544501133786846,en,10
The Sporting News,The Sporting News,ORG,0.17347222222222222,0.2644444444444444,en,10
the World Economic Forum,the World Economic Forum,ORG,0.06007860922146638,0.30441118669690104,en,9
ICU,ICU,ORG,0.01595117845117844,0.24730639730639728,en,9
Turning Point USA’s,Turning Point USA’s,ORG,0.008283730158730157,0.1835923721340388,en,9
the New York Times,the New York Times,ORG,0.04028619528619528,0.485462962962963,en,9
the Justice Department’s,the Justice Department’s,ORG,0.03265993265993266,0.42898989898989903,en,9
Justice Departments,Justice Departments,ORG,-0.027585377585377584,0.4835016835016835,en,9
The Department of Justice,The Department of Justice,ORG,0.11493506493506495,0.29924242424242425,en,9
Pentagon,Pentagon,ORG,0.017519640852974187,0.34837822671156005,en,9
The Independent,The Independent,ORG,-0.0027513227513227545,0.15062830687830686,en,9
Vanity Fair,Vanity Fair,ORG,0.3629292929292929,0.5043883277216611,en,9
Ferreira,Ferreira,ORG,-0.00031565656565656595,0.10827020202020202,en,8
Maduro,Maduro,ORG,0.11249999999999999,0.11249999999999999,en,8
Harvard University,Harvard University,ORG,-0.001302083333333334,0.17864583333333334,en,8
Noem,Noem,ORG,0.13125,0.303125,en,8
Tesla,Tesla,ORG,0.21304945054945057,0.3283424908424908,en,8
NBC,NBC,ORG,-0.02356060606060606,0.22493055555555558,en,8
the Catholic Church,the Catholic Church,ORG,0.08934027777777777,0.15746527777777777,en,8
Department of Homeland Security,Department of Homeland Security,ORG,0.04791666666666666,0.16319444444444445,en,8
AG,AG,ORG,0.030208333333333334,0.24687499999999998,en,8
Microsoft,Microsoft,ORG,-0.013731060606060618,0.1890151515151515,en,8
Amazon,Amazon,ORG,0.1375,0.5239583333333333,en,8
Goldman Sachs,Goldman Sachs,ORG,0.18162878787878786,0.28494318181818185,en,8
Leavitt,Leavitt,ORG,0.018418560606060605,0.12458964646464646,en,8
The US Justice Department,The US Justice Department,ORG,-0.045359848484848475,0.39289772727272726,en,8
EU,EU,ORG,-0.025,0.19791666666666666,en,8
the Trump Administration,the Trump Administration,ORG,-0.012165178571428572,0.2041852678571429,en,8
Federal Reserve Chair,Federal Reserve Chair,ORG,0.034523809523809526,0.3166666666666667,en,7
CECOT,CECOT,ORG,-0.03654143475572047,0.23808750773036488,en,7
Post,Post,ORG,0.04696969696969696,0.41926406926406923,en,7
"Getty Images
","Getty Images
",ORG,0.11071428571428572,0.1392857142857143,en,7
the Epstein Files,the Epstein Files,ORG,0.08201917130488559,0.3042362399505257,en,7
Commerce,Commerce,ORG,0.004761904761904765,0.2005952380952381,en,7
UCLA,UCLA,ORG,0.06406926406926407,0.6615800865800866,en,7
Kremlin,Kremlin,ORG,0.07142857142857142,0.07142857142857142,en,7
AP Photo/,AP Photo/,ORG,0.16331168831168832,0.491991341991342,en,7
Associated Press,Associated Press,ORG,0.14298082869511441,0.25081632653061225,en,7
Musk,Musk,ORG,0.05119047619047621,0.17273809523809525,en,7
Royal,Royal,ORG,0.03398268398268399,0.5104978354978356,en,7
the Oval Office,the Oval Office,ORG,-0.008371985157699444,0.14199134199134197,en,7
Trump White House,Trump White House,ORG,-0.0031655844155844153,0.08043831168831168,en,7
Apple,Apple,ORG,0.011363636363636362,0.16883116883116883,en,7
Twitter,Twitter,ORG,0.1302721088435374,0.2634259259259259,en,6
Epstein Files,Epstein Files,ORG,0.0073569023569023395,0.39557239057239063,en,6
Weiss,Weiss,ORG,0.06342216810966811,0.22458513708513708,en,6
D-Minn.,D-Minn.,ORG,0.12744708994708995,0.28895502645502646,en,6
Davos,Davos,ORG,0.33106060606060606,0.32575757575757575,en,6
TPUSA,TPUSA,ORG,0.1836805555555556,0.27979166666666666,en,6
Capitol Hill,Capitol Hill,ORG,-0.06666666666666665,0.3333333333333333,en,6
Labour,Labour,ORG,0.11666666666666668,0.25,en,6
U.S. Immigration and Customs Enforcement (ICE,U.S. Immigration and Customs Enforcement (ICE,ORG,0.0,0.1259259259259259,en,6
Pretti,Pretti,ORG,0.06685185185185184,0.2425925925925926,en,6
OpenAI,OpenAI,ORG,0.007575757575757575,0.07154882154882154,en,6
The Washington Post,The Washington Post,ORG,0.011111111111111108,0.18333333333333335,en,6
NewsNight,NewsNight,ORG,-0.24097222222222223,0.5402777777777777,en,6
the Washington Post,the Washington Post,ORG,0.008333333333333333,0.11944444444444445,en,6
The House Oversight Committee,The House Oversight Committee,ORG,-0.08988095238095235,0.28835978835978837,en,6
Tiffany Cross,Tiffany Cross,ORG,-0.005,0.2038425925925926,en,6
RadarOnline.com,RadarOnline.com,ORG,-0.07638888888888888,0.27777777777777773,en,6
The House of Representatives,The House of Representatives,ORG,0.09595959595959597,0.28055555555555556,en,6
an Immigration and Customs Enforcement,an Immigration and Customs Enforcement,ORG,0.30616883116883115,0.4567532467532468,en,5
WBD,WBD,ORG,0.1133888888888889,0.36144444444444446,en,5
the Epstein Files Transparency Act,the Epstein Files Transparency Act,ORG,0.06515151515151515,0.28439393939393937,en,5
Turning Point USA's,Turning Point USA's,ORG,-0.0033333333333333435,0.32,en,5
the US Department of Justice,the US Department of Justice,ORG,0.08060606060606061,0.22757575757575754,en,5
UnHerd,UnHerd,ORG,0.0,0.025,en,5
Inter Miami,Inter Miami,ORG,0.5349999999999999,0.595,en,5
the Democratic Party,the Democratic Party,ORG,0.09666666666666666,0.22805555555555554,en,5
ABC News',ABC News',ORG,0.10744588744588746,0.1738095238095238,en,5
PFL Lyon,PFL Lyon,ORG,0.034444444444444444,0.09888888888888889,en,5
U.S. Immigration and Customs Enforcement,U.S. Immigration and Customs Enforcement,ORG,0.030303030303030297,0.11212121212121211,en,5
Usha,Usha,ORG,-0.06499999999999999,0.28250000000000003,en,5
Royal Family,Royal Family,ORG,0.091,0.26766666666666666,en,5
US Justice Department,US Justice Department,ORG,0.16999999999999998,0.16666666666666669,en,5
Octagon,Octagon,ORG,-0.01333333333333333,0.14666666666666667,en,5
VP,VP,ORG,-0.01,0.01,en,5
Jake,Jake,ORG,0.06999999999999999,0.03333333333333333,en,5
Starmer,Starmer,ORG,0.006666666666666666,0.04,en,5
POTUS,POTUS,ORG,0.02954545454545454,0.16126262626262627,en,5
