,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,PERSON,0.0675409418826007,0.32370165223019964,en,576
Islam Makhachev,Islam Makhachev,PERSON,0.1038589472057214,0.3124343428375689,en,403
Conor McGregor,Conor McGregor,PERSON,0.0686408698947043,0.2907383622682701,en,326
Ian Machado Garry,Ian Machado Garry,PERSON,0.09353377416330312,0.3245302969306594,en,276
Andy Burnham,Andy Burnham,PERSON,0.062153134122422904,0.27236195985926576,en,232
Bill Maher,Bill Maher,PERSON,0.019996376811594243,0.35422308488612825,en,230
Dana White,Dana White,PERSON,0.03117378171596922,0.24627562830687844,en,200
Magomed Ankalaev,Magomed Ankalaev,PERSON,0.13803728883148775,0.3592189655034959,en,181
Max Holloway,Max Holloway,PERSON,0.06200540708488683,0.2726523075511515,en,173
Usman Nurmagomedov,Usman Nurmagomedov,PERSON,0.19195865312782714,0.4019749815852567,en,142
Jeffrey Epstein,Jeffrey Epstein,PERSON,-0.015673557818444192,0.3053803183348639,en,132
Keir Starmer,Keir Starmer,PERSON,0.06326552562663675,0.25187421503393725,en,108
Taylor Swift,Taylor Swift,PERSON,0.08024723878497463,0.28944156297929885,,106
Bogdan Guskov,Bogdan Guskov,PERSON,0.12243272930772926,0.34789364570614595,en,104
Arman Tsarukyan,Arman Tsarukyan,PERSON,0.15090768799102133,0.3019781144781146,en,99
Sydney Sweeney,Sydney Sweeney,PERSON,0.1293535379676685,0.33282717835706954,en,92
Abu Dhabi,Abu Dhabi,PERSON,0.10444842446201145,0.35349635720559647,en,92
Ian Garry,Ian Garry,PERSON,0.01641586499919833,0.34496296296296286,en,90
Merab Dvalishvili,Merab Dvalishvili,PERSON,0.10415680036161964,0.2284050487664946,en,83
James Talarico,James Talarico,PERSON,0.030857761066094398,0.38044614336280996,en,78
Henry Cejudo,Henry Cejudo,PERSON,0.13181991876436325,0.2868682025279247,en,72
Travis Kelce,Travis Kelce,PERSON,0.08488017329566626,0.28578391222757416,en,71
JD Vance,JD Vance,PERSON,0.13049742321170896,0.26610441146155434,en,70
Jay Clayton,Jay Clayton,PERSON,0.029456327985739737,0.15921717171717167,en,68
Alex Pereira,Alex Pereira,PERSON,0.09027769289533998,0.2595581709956709,en,68
Gable Steveson,Gable Steveson,PERSON,0.11054968663177617,0.37917172794038456,en,67
Jon Jones,Jon Jones,PERSON,0.025374924104432296,0.3007513661202184,en,61
Carlos Prates,Carlos Prates,PERSON,0.07835610200364299,0.24309198542805102,en,61
Ken Paxton,Ken Paxton,PERSON,0.08173163130130341,0.3484228112506801,en,61
Jimmy Kimmel,Jimmy Kimmel,PERSON,0.03599593712298631,0.31889004210725524,en,61
Charles III,Charles III,PERSON,0.03420388407888408,0.2660422378547379,en,60
Bill Pulte,Bill Pulte,PERSON,0.042184974747474756,0.20653787878787883,en,60
Tom Aspinall,Tom Aspinall,PERSON,0.0861087164750958,0.2747947454844006,en,58
Graham Platner,Graham Platner,PERSON,0.12057966886914255,0.34735342143236886,en,57
Khabib Nurmagomedov,Khabib Nurmagomedov,PERSON,0.13638141620284477,0.37527152906617195,en,56
Mauricio Ruffy,Mauricio Ruffy,PERSON,0.12309009406231627,0.29530717225161673,en,54
Scott Pelley,Scott Pelley,PERSON,-0.012219863469863469,0.3818594599844599,en,52
Daniel Siad,Daniel Siad,PERSON,-0.02107001386413151,0.26534214695979413,en,51
Josh Hokit,Josh Hokit,PERSON,0.09503679653679654,0.33783614718614724,en,50
Charles Oliveira,Charles Oliveira,PERSON,0.04468901846452866,0.24389050858438616,en,49
